,time,windgusts_10m,wind_deg
0,2022-05-03T00:00,4.3,77
1,2022-05-03T01:00,5.4,115
2,2022-05-03T02:00,5.7,136
3,2022-05-03T03:00,5.6,141
4,2022-05-03T04:00,4.7,156
5,2022-05-03T05:00,4.2,183
6,2022-05-03T06:00,4.4,212
7,2022-05-03T07:00,4.8,236
8,2022-05-03T08:00,4.9,240
9,2022-05-03T09:00,5.0,246
10,2022-05-03T10:00,5.1,266
11,2022-05-03T11:00,7.0,267
12,2022-05-03T12:00,7.2,256
13,2022-05-03T13:00,6.1,249
14,2022-05-03T14:00,3.8,248
15,2022-05-03T15:00,2.7,252
16,2022-05-03T16:00,8.1,290
17,2022-05-03T17:00,8.8,288
18,2022-05-03T18:00,7.7,287
19,2022-05-03T19:00,6.2,292
20,2022-05-03T20:00,6.2,295
21,2022-05-03T21:00,4.4,284
22,2022-05-03T22:00,5.1,283
23,2022-05-03T23:00,5.8,281
24,2022-05-04T00:00,4.8,267
25,2022-05-04T01:00,2.5,264
26,2022-05-04T02:00,2.8,260
27,2022-05-04T03:00,3.4,256
28,2022-05-04T04:00,2.9,254
29,2022-05-04T05:00,2.4,251
30,2022-05-04T06:00,3.3,258
31,2022-05-04T07:00,3.7,267
32,2022-05-04T08:00,5.5,292
33,2022-05-04T09:00,6.9,309
34,2022-05-04T10:00,7.2,311
35,2022-05-04T11:00,9.5,317
36,2022-05-04T12:00,10.6,322
37,2022-05-04T13:00,11.0,331
38,2022-05-04T14:00,12.2,332
39,2022-05-04T15:00,12.9,338
40,2022-05-04T16:00,12.5,347
41,2022-05-04T17:00,14.7,345
42,2022-05-04T18:00,14.5,338
43,2022-05-04T19:00,12.4,326
44,2022-05-04T20:00,10.2,317
45,2022-05-04T21:00,9.3,294
46,2022-05-04T22:00,7.8,274
47,2022-05-04T23:00,8.4,269
